guestId,hasName,hasAddress,hasPhone,hasEmail,hasBirthDate
188325841,true,false,true,false,false
2993668,true,true,true,true,true
62293172,true,true,false,false,true
109399988,true,true,true,true,true
188253125,true,false,false,false,false
188254909,true,false,false,false,false
188257697,true,false,true,false,false
43951812,true,true,false,true,true
188261367,true,false,false,false,false
93177124,true,false,false,false,true
10757471,true,true,true,true,true
119717888,true,true,true,false,true
168778090,true,true,true,true,true
136254986,true,false,false,false,true
83943074,true,true,true,false,true
188268900,true,false,false,false,false
32913262,true,true,true,true,true
175586395,true,false,true,true,false
61148127,true,true,true,true,true
158913901,true,true,true,true,true
186582583,true,false,false,false,false
188294026,true,false,false,false,false
134052026,true,true,false,true,true
167303528,true,true,true,true,true
36499158,true,true,true,true,false
100382704,true,true,true,false,false
71950151,true,true,false,true,true
158899793,true,true,true,true,true
56131086,true,true,false,false,true
91582245,true,true,false,true,true
107329464,true,false,false,false,true
50452511,true,false,false,false,true
89526044,true,true,false,false,true
35033836,true,true,false,true,true
188316411,true,false,false,false,false
188302861,true,false,false,false,false
188303018,true,false,false,false,false
188279632,true,false,false,false,false
138738555,true,true,true,true,true
74718688,true,false,true,true,false
50809526,true,true,false,false,false
188306057,true,false,false,false,false
125587685,true,true,true,true,true
109757513,true,true,false,true,true
125192048,true,true,false,true,true
17053833,true,true,false,false,true
188486617,true,false,false,false,false
83981429,true,true,true,true,false
11664079,true,false,false,false,true
23675861,true,true,false,true,true
139161766,true,true,true,true,true
158850210,true,true,true,true,true
69489273,true,true,true,true,true
24451408,true,true,true,true,true
115028654,true,true,true,true,true
88964202,true,true,true,true,true
186911228,true,false,false,false,false
50336426,true,true,false,false,true
128381389,true,true,true,true,true
147776583,true,true,true,true,true
188453859,true,false,false,false,false
82841190,true,true,true,true,true
21000914,true,true,true,false,false
61245242,true,true,true,false,true
188328602,true,true,true,true,true
54547314,true,true,true,true,true
150871042,true,true,true,true,true
81708403,true,false,false,false,false
106169568,true,true,true,true,true
68509323,true,true,false,true,true
186616798,true,false,false,false,false
188495996,true,false,false,false,false
82325135,true,true,true,false,true
174299266,true,true,false,false,true
105253708,true,true,false,true,false
188494117,true,false,false,false,false
188495362,true,false,false,false,false
186625960,true,true,true,false,false
19856732,true,false,false,false,true
188502585,true,false,false,false,false
175591871,true,true,false,false,false
186930348,false,false,false,false,false
104207658,true,true,true,true,true
107055074,true,true,false,true,true
99494917,true,true,true,true,true
29511508,true,true,true,true,true
140433180,true,true,true,false,true
38126462,true,true,true,true,true
