accountType,accountId,guestId,amperityId,mLifeId,mgmRewardsTierCurrent,expects,numberOfAccounts
patron,84810337,32324832,1dff4b50-1b46-37eb-8491-f63512fa781b,84810337,Sapphire,1,3
patron,83943003,13391301,19d909bf-7d50-3ddd-ad30-a756fcdb9aee,83943003,Sapphire,1,2
patron,93590256,136200652,19de6148-94f4-3c77-bac6-fcab2bc031ff,93590256,Sapphire,1,1
patron,5952397,98402767,1e08750f-3d52-3b1d-8ec7-5ca5cf161147,5952397,null,1,1
customers,00ur9uxt89TCr4nvp1t7,168141201,1e09ba95-a4b1-321c-a88f-3361c218f592,100729177,Sapphire,1,2
patron,11818703,42077877,1f62c151-184e-3cd9-b47a-ef795ec585ae,11818703,null,1,2
patron,78318314,109942358,1f630ba9-ea68-3267-94d9-29e949f1db8c,78318314,Sapphire,1,1
betmgm,607080346,167171469,1e428611-fc01-31f0-b821-9b40e020283c,100305698,Sapphire,1,4
patron,90768983,38056705,1f649a66-01df-3b1f-a547-2ef0c0e379a6,90768983,Sapphire,1,2
patron,32566487,3727317,1fbc7587-b85f-340f-adb4-d3daf98cb267,32566487,null,1,1
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlciQLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBj5j9DTHgw,113163105,1f64ccbb-dcfe-3a68-9e89-52e09fa6c5fe,67508726,Sapphire,1,2
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlciQLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiRtJ2IGgw,82781828,1f66824e-d53d-3547-9a17-e67c57a24438,70642944,Sapphire,1,8
tcolv_lms,418735269168,116494927,0e36a43c-e61b-353b-b471-b90c0f0beaa1,53201789,Sapphire,1,12
patron,29069674,66945566,1fc7e0fb-87c9-39dd-b666-aefd7586a42d,29069674,null,1,1
patron,65020855,74113196,1fcb976e-815e-32f3-bf27-d0137e7e55ab,65020855,Sapphire,1,3
patron,57320730,80314474,1e224675-3593-3c0a-a510-4bcecac57f46,57320730,Sapphire,1,1
patron,65476225,17739615,1e28ff59-75cb-39cc-851b-5e3c76f2241f,65476225,Sapphire,1,1
patron,30256649,42260365,1e45f90d-496d-3eb5-95be-b5775821bd0a,30256649,null,1,1
patron,18836612,57412177,1e48dbf8-c383-3e03-ab4f-78d9df4ffa38,18836612,null,1,1
patron,29733155,77475028,1fd2b8a8-9824-3d8a-bb42-4bc3595659c9,29733155,Sapphire,1,3
patron,97417496,45784394,1e505c02-c2a2-3f56-9253-8ce6cf8228a3,97417496,Sapphire,1,5
patron,57780286,66820479,1b671a5d-8470-33e4-aea8-8813cf4d04b7,57780286,Sapphire,1,1
patron,47665253,96804922,1724a019-e98c-39be-a15e-487d3ac11780,47665253,Sapphire,1,1
patron,64285881,66691559,1e37ad1e-ce2c-3acf-8ee3-c0fb1bd53432,64285881,Sapphire,1,1
patron,74557698,46128942,1f6a9835-6020-362e-9d7f-337df9f40cf7,74557698,Sapphire,1,2
patron,56472248,2472579,1e5cad05-04d7-352c-ba23-a559a7d7b4b1,56472248,Sapphire,1,2
patron,20150500,133358754,1c7b6a61-aea5-454d-8bc8-19d8841b66e9,84133768,Sapphire,1,2
patron,53480133,6452884,1e65de16-891a-3796-ad9c-25ba07c79108,53480133,Sapphire,1,1
patron,66474059,6448986,1e492bae-c133-3474-a04d-3a7bead1a265,66474059,Sapphire,1,1
opera,787450502,59782867,1e495e36-ea54-37dc-a179-dbf61c0dbdec,15654189,Sapphire,1,7
patron,93428166,135979554,1c7e5ee4-bae2-3d4c-b7fd-636fa31e25a0,93428166,Sapphire,1,1
patron,70521122,48234810,1c81faac-236c-3a1b-bd64-ea8080f089e3,70521122,Sapphire,1,1
patron,29512061,34017984,1e75979f-4862-33b4-ad46-d9dcea1d7987,29512061,Sapphire,1,1
patron,3451264,118523331,1e76ef4e-949e-3238-ad72-cda64064217c,3451264,null,1,1
patron,60057593,12982794,1e79f4ee-986d-3e26-aff7-fb7254d4a250,60057593,Sapphire,1,2
patron,54328244,28973408,1b6d4ad2-47ad-3b95-b829-3b1b512130e6,54328244,Sapphire,1,1
opera,808983061,36937308,1b757e12-8ee6-339a-b8bf-6139c38a42be,99926462,Sapphire,1,13
opera,810782835,102500654,1b789b05-bd25-325f-8d7d-8186ced85f38,79123559,Sapphire,1,4
opera,804106239,121290986,1f7c239e-7289-3e5d-a0c1-3afad6673275,76095907,Sapphire,1,2
patron,55079565,106127784,1b07fdde-1387-3502-b3e7-fd8cbe469e69,55079565,Sapphire,1,1
patron,84875514,46735558,1b7b2da3-7ecf-3e36-a2f3-743150a4179e,84875514,Sapphire,1,1
patron,4976651,32019718,1b0a25cd-87b9-3631-a2f5-95c90e2c75bc,4976651,null,1,1
opera,787511367,17419953,1b0d9623-ceef-3088-9cad-bc56a666dcd4,73634939,Sapphire,1,4
patron,35630065,120188001,1b0e6d25-92eb-3598-baff-94c85c31347d,35630065,Sapphire,1,6
customers,00ueilb7pzKozVcg91t7,69228820,1b7d4f55-627b-32be-9d5b-bc4e81252869,1192120,Sapphire,1,3
patron,79780030,128469517,19e88b6a-0f8c-3078-a446-1a94b830fdf8,79780030,Sapphire,1,1
patron,60648289,25426237,1b825bea-1feb-3491-94d8-563bdde9f2f0,60648289,Sapphire,1,1
patron,74013134,69021637,1e7d809a-f2a4-3987-bd8d-a2e164e98cb4,74013134,Sapphire,1,1
patron,57540079,39920531,1e4aebf0-512d-39cd-bea1-351d6f4ee69f,57540079,Sapphire,1,1
betmgm,578106520,147278000,1f85c47b-5948-3311-bb2e-38ab99d806a6,96723131,Sapphire,1,2
patron,34150230,86678969,1f87f0c3-6e77-366f-a6d3-eb09953abf58,34150230,null,1,1
patron,29521214,64550404,1748d0a8-8eee-3fdf-9742-bc0739bc1024,29521214,null,1,1
patron,30055512,44921603,17505db5-9074-3336-bdc5-f0e26e90cc4a,30055512,null,1,2
customers,00uen1kbWaY76Fjin1t5,59348822,0b80259c-c63f-3b77-9bee-d50545b7a139,68463048,Sapphire,1,7
patron,67221457,25560577,1f8d094b-664b-3939-8955-362e68d7655c,67221457,Sapphire,1,3
betmgm,598165141,158491732,0b827e92-a4b7-3ad8-8145-5e2d31a25f4c,99499691,Sapphire,1,2
patron,71460285,67510086,17554cda-3007-3067-9ce1-7efb2cf194a9,71460285,Sapphire,1,1
