guestId,amperityId,expects,mLifeId,mgmRewardsTierCurrent,numberOfAccounts
123784512,1d4caeb2-32bd-39c2-8f74-53b0b4540752,1,77404525,Pearl,5
126030055,a1b5eefd-8639-30ff-bb14-635acc1bf55a,1,8864305,null,2
126032122,5d8620a5-3df9-3dd1-8c96-6f88aaea3630,1,63056903,Sapphire,11
9712380,9f7c9fbe-1243-3d0b-aeba-c8e7735a0144,1,69728301,Sapphire,2
9714212,7af7fbec-ef24-3da2-83d4-ba073d33e230,1,59490598,Sapphire,1
9727944,51debc4d-416e-3aff-b7f1-48c720a99f68,1,78890225,Sapphire,2
9731464,754a99b2-973a-3786-a8b3-5260e5820fee,1,85470338,Sapphire,3
126080568,00dc86f0-73d7-3097-b628-6ffc8d43378a,1,51808076,Sapphire,5
11017350,5325dcb7-6eeb-3e32-93bd-223c2912d157,1,68051882,Sapphire,6
10842330,2f1b73c7-21fe-3ffe-964d-87ce66919e72,1,67138246,Sapphire,1
123850052,d0b93eb0-a4dd-3e83-96d6-77a7bc40707e,1,67850547,Sapphire,6
123896262,ef09e5d5-4902-3a9d-9faa-9fb8be5529bc,1,62353709,Gold,11
122419557,3fef248b-f0f9-3d77-8684-369b3bbc5f64,1,32870507,Sapphire,7
109776151,b3a2485c-bd62-3951-b7c4-f3e688a2f480,1,82111439,Sapphire,2
9772598,588dfc39-b85c-3180-99b1-38e0ba90afc0,1,50605201,Sapphire,3
126142172,3bf379dd-7400-33b8-989c-8d0e63faeda8,1,78733843,Sapphire,6
11981512,fbb19978-60b8-328b-bdc0-b47971f1e4de,1,56476783,Sapphire,4
12000894,48e47c0e-1c29-32e5-a33c-52c77d9719a7,1,71475439,Sapphire,1
126186870,732f0bf6-4e0d-3784-ab3a-501c93fbef8b,1,58905449,Sapphire,1
126191201,ab0b9e54-e2bc-3124-aa58-887f07911743,1,56548946,Sapphire,1
126209603,f5a69d0a-4ac9-3575-8d03-03e6b806fc99,1,75711397,Sapphire,1
126218885,cfad8c7e-70a3-3c2f-b7bd-b3e2be64ad0d,1,65926153,Sapphire,1
133867914,e90afbb2-cf11-3dda-b7c3-97540e27fbc0,1,96130790,Pearl,7
126256891,2015b588-7e57-3c05-a55a-82b0efb8c9b8,1,52372660,Sapphire,1
9826603,203ffe64-459f-34b4-8743-73ed6c00db73,1,90919558,Sapphire,2
133901877,2960e16e-fd28-3267-b514-b6eaa62cfaed,1,80855086,Sapphire,5
133919702,177575b9-5b0e-3363-95dd-6828ddeb6a07,1,80828205,Sapphire,4
124002728,4fb13477-3429-3993-8987-0467a3d1e303,1,50241959,Sapphire,2
122462725,96c6b537-352f-34bd-b10a-370dbff5bc6a,1,78227734,Sapphire,4
124024072,e108832b-fc7b-3387-9a10-e2f0fe8c5da9,1,29913860,null,7
99461447,5e1e396f-3e05-3cb4-a8bd-89eb0a9d7f82,1,67659547,Sapphire,1
2767725,13c8c498-fbdf-321a-b6f3-c5e8f8ae694a,1,13328552,null,2
12053359,fd191d23-3c18-3d76-9a41-553861e3bf94,1,59621714,Sapphire,1
12971968,cd6fd14a-56c6-3364-93ce-fd56ce14e964,1,47529157,Pearl,10
12974041,fa0e724b-2a6d-3132-b544-cec3d570d3ae,1,66936846,Sapphire,1
13020628,ac725714-a483-376d-837c-c6f6ed0eb161,1,85105571,Sapphire,1
122518482,bbe8fb3c-aef9-3334-bb06-ec3609b10fd4,1,63695134,Sapphire,1
125645921,30bc3fca-d8b8-36ba-9804-edbacbb8f140,1,3799449,Sapphire,1
11033349,55f089e6-7b34-3a4c-8f64-923e6721452e,1,71311979,Sapphire,1
10976185,dc20fb10-900e-3791-a949-a3952525f57a,1,81686961,Sapphire,1
11088638,53d33d3c-cd84-3c0c-9439-7a6bcc5b0bac,1,96315241,Sapphire,4
11546509,e42c41db-149f-3973-99ea-d7df7644d4bd,1,20745051,Pearl,6
124066403,e6631a77-2611-32f2-a97b-2e856c030d87,1,56952645,Sapphire,1
126381160,a9cd3bd2-895f-3920-8fff-4f106838a004,1,51823985,Sapphire,1
11015091,1ebb4973-9757-3099-8fd8-163de03f4fbe,1,90224715,Sapphire,2
124072665,19cef315-eedc-3724-add0-7d2bdcbdd7d5,1,72516193,Sapphire,1
124078636,39f7f8c1-3ee7-3ad5-a556-a0b912a049b4,1,90012499,Sapphire,1
124107848,51e8047c-08c9-3020-8ed0-93c0bee10a28,1,77544369,Sapphire,1
124108355,0e34f886-0d45-3020-b4ff-0bb5c17f6eeb,1,68373535,Sapphire,9
11141544,9083ec32-8335-3a15-859b-aea4d8a26b1f,1,74102612,Sapphire,1
13075505,d4bdc384-ae23-3d9b-b5f2-55aa8a32a3c9,1,89509247,Sapphire,2
11595041,ffd43113-4741-306e-a710-3b2151a2f3e3,1,72489622,Sapphire,1
11043474,2f2aeba0-e187-3cd1-81b2-5cb24b39a1ff,1,58091495,Sapphire,4
11608942,93c1f3a4-980f-39c5-954f-16009538c4a6,1,82282031,Sapphire,7
11623900,fe289454-9d8d-363d-b182-02ae4635093d,1,68114207,Sapphire,3
11194436,78425a7d-70b5-3c90-b842-6ee6a3b07b05,1,76865160,Sapphire,2
106899464,cd4fc654-eb68-30c6-8a42-17fdbb3764f9,1,78691000,Sapphire,2
106914259,e2ef00b8-32af-38ca-8f34-0484a80794a6,1,90903614,Sapphire,2
106919658,4fb7ba41-4e4d-31ec-957e-7ac8136e2b7a,1,2555132,null,1
11268173,9474b445-efc7-37ec-b9ea-4004a6e0e5be,1,54883498,Sapphire,1
106945134,f51ada27-04a6-3cd0-8614-ee9d04349828,1,71290886,Sapphire,1
11289430,1bf38a48-6d0d-3e40-b5ba-cc3b36613ada,1,29814956,null,1
9862674,6c9c36de-939e-3ba9-9984-c4423ca73efc,1,76781630,Sapphire,2
121149784,660e8f45-2e1c-358c-bfc2-034fd34cebaa,1,78040925,Sapphire,2
103685897,900d20e1-1d51-3656-8f5f-e7b2ee7aa90a,1,78512942,Sapphire,5
118908012,45490d36-d299-39a6-8aac-d30366c3e33d,1,42131051,null,1
118908735,c047b47b-49b4-3d4c-b690-72ed79f2535c,1,63453035,Sapphire,4
131427813,998d3931-24e0-31d2-96f3-30c03202cf3b,1,80342770,Sapphire,1
10837329,6f3afe53-4ce9-30c1-8d32-379ba51ec14c,1,83805726,Sapphire,2
131463630,095739cd-e2ef-3233-b396-515208dc2b1f,1,80348586,Sapphire,2
15092392,9e13d860-e9e9-370a-9e20-548f0b7c266c,1,12175682,null,2
15096387,66acafe9-3456-3500-a6dc-15f2f89190c6,1,66117646,Sapphire,5
11739906,dcba07ec-da90-3b35-abdb-6fe9f7788063,1,61394682,Sapphire,3
11323516,381d5743-b152-3f6d-bbd8-cbafde0ae0d6,1,74715533,Sapphire,2
106060215,241b8c21-9c38-3ba6-982b-925a01fa8894,1,67975499,Sapphire,1
122531306,4669ff11-de77-34af-8362-86a8319fadec,1,54300154,Sapphire,1
10931356,bb52bc77-4e07-3407-a5af-d0e0a9028797,1,51106068,Sapphire,3
10934290,0e258bee-08a6-3a47-b2da-c1981ccdccfe,1,81815423,Sapphire,1
10946680,dea39c5e-e9ba-38f5-b48f-5d938c5e9864,1,64195586,Sapphire,1
122678593,6009a076-a735-3e83-90f0-844225b95d6c,1,63696553,Sapphire,1
109031608,d63b8ff4-4825-3bfc-b62a-979adea8b91c,1,77127391,Sapphire,3
122555984,44265709-80ad-3949-8638-741ec313b979,1,85445387,Sapphire,4
12355325,3a035915-49d8-3e71-becf-23164a4ed4a7,1,54876083,Sapphire,1
12359914,3adc96a9-9bd2-3b29-83a2-aeee5488f1b1,1,55128536,Sapphire,1
10984310,d212c9ff-6f52-306b-b69e-f312c5b99cab,1,12530740,null,2
2642609,8ba9776b-f8d0-39dc-98bf-5d8bfcd5c91d,1,89343249,Sapphire,1
108905371,d1d96c87-0e82-30e9-aa7c-41893b3861c6,1,50364861,Sapphire,2
11022586,00fd8847-63a2-369f-a264-6bd293c87826,1,59542763,Sapphire,2
121183795,28ba5bc6-dc93-3d0a-897e-64228b8f4775,1,56793864,Sapphire,1
118989224,cf76262f-56d8-3a7f-b1bc-3bd8b3e94a5a,1,58278234,Sapphire,1
124237305,3a8554f1-4c00-3433-b7bc-2d92efe07c2d,1,54408605,Sapphire,2
121227098,a2ee1c19-6132-36da-9e1c-efcba97e633f,1,55083370,Sapphire,1
109059970,be9a1738-b1ff-39a3-a11b-6ffbc3e7e84f,1,81635193,Sapphire,1
11093327,a7b30dd3-1165-346e-a478-4741364fae88,1,58746389,Sapphire,2
2284801,5982a0dc-bb77-3d50-8d75-7b5468e2e8d7,1,3469768,Sapphire,1
106937405,28449749-2df3-3d29-b180-3998f98f4201,1,32966138,Sapphire,5
121291437,7ccff8f7-e182-3a90-966a-a991b11fc690,1,72603061,Sapphire,3
121297542,4d9749ac-2875-3862-850a-7ce4260b1d70,1,43788945,null,1
67708660,6693b77a-5e66-314c-a7c6-7a1940d4053f,1,75648079,Sapphire,6
67783247,63560fff-6f44-3573-bd8b-0fddb15f2a84,1,75292458,Pearl,3
107043748,6ef57a0c-e43c-317c-9a8c-6dac480951dd,1,30394281,null,1
15157032,55d66dac-0bae-3c9c-864c-084a43c01e68,1,55595245,Sapphire,1
11411852,99d7aab8-b993-3469-bdeb-86f2a1ff09e0,1,29722299,null,1
124497693,d860f0cb-8f78-39f9-935b-9c2990004366,1,21507612,null,2
10630769,87797d3b-bb14-3292-a316-63745d776c37,1,34976639,null,2
15180053,18912768-0618-3a3b-a4e9-20c3d6e18c80,1,2058989,null,1
10640836,977cc82c-464c-3490-97ec-170f1059533b,1,3682562,null,1
15202020,9ccf595b-6bc1-31cb-9837-af059d8277ee,1,69422294,Sapphire,2
2539994,870ada87-56e8-3ca8-ba4d-4d2eeb1b9905,1,4140428,null,1
106209007,a329a328-3b91-3729-b562-c44f9918cf63,1,48361353,Sapphire,2
122634776,0cfa7b4d-548b-3cf6-936a-541f11bbe721,1,64359586,Sapphire,1
10662972,677bea01-4ecf-3422-8da0-00e4080d7c2c,1,61678410,Sapphire,4
