accountType,accountId,guestId,mLifeId,mgmRewardsTierCurrent,stateCd
patron,83951255,40697056,83951255,Sapphire,NJ
patron,95086051,140434273,95086051,Sapphire,OH
opera,2832215,12763160,40271792,Sapphire,MA
patron,54798928,92404027,54798928,Sapphire,null
patron,49605919,114697690,49605919,Pearl,CA
patron,54983088,46703224,54983088,Sapphire,null
patron,80182961,19941066,80182961,Sapphire,AR
customers,00uhxss6lwKQhc6t21t7,49060979,85081607,Sapphire,NJ
opera,5658999,88166929,8334825,Sapphire,CA
betmgm,516757990,44745923,82252153,Sapphire,NJ
patron,63165347,62348479,63165347,Sapphire,CA
opera,798284123,79514323,74671396,Sapphire,CA
opera,896407056,107600509,70529092,Sapphire,UT
patron,76478924,12951273,76478924,Sapphire,DE
patron,74393708,92494114,74393708,Sapphire,PA
patron,1217094,43167239,1217094,Pearl,CA
patron,58878220,101808815,58878220,Sapphire,null
archtics,8487459,11772994,78184710,Sapphire,CA
patron,40062266,37108378,73477178,Sapphire,WA
customers,00u6gnj5nuWrEBCMz1t7,95893214,75551025,Sapphire,CA
patron,43773243,34421401,43773243,Sapphire,MI
patron,78783107,42902937,78783107,Sapphire,null
patron,83386842,102216210,83386842,Sapphire,NC
patron,55587412,96231119,55587412,Sapphire,null
patron,60168460,10701353,68972195,Sapphire,TX
patron,84785877,1467342,84785877,Sapphire,MA
patron,81666469,67869435,81666469,Sapphire,null
opera,2648898,48108641,19151494,Sapphire,IN
patron,68738457,76375686,68738457,Sapphire,null
opera,1541454,111714025,21558512,Sapphire,CO
patron,19027810,126823587,83017808,Sapphire,NJ
patron,60211556,3178475,60211556,Sapphire,CA
patron,96862687,147593289,96862687,Sapphire,NY
patron,78542426,125235409,78542426,Sapphire,null
patron,89675601,46111706,89675601,Sapphire,OH
patron,57270239,113337275,4472009,Sapphire,MI
patron,29713724,118283793,29713724,Sapphire,NY
patron,18460017,97169299,18460017,Sapphire,OH
patron,83623262,76119236,72669646,Pearl,NC
patron,50328420,168566564,50328420,Sapphire,OK
customers,00uo89dt4iGkrJ7YN1t7,153498259,71607454,Sapphire,AL
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlcicLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiAgLjLyfaXCww,11456504,77510169,Sapphire,TX
patron,58945049,55668161,58945049,Sapphire,null
patron,80722261,133785145,80722261,Sapphire,NV
patron,53493765,2429559,53493765,Sapphire,null
opera,42106143,106774506,78288705,Sapphire,IA
archtics,2826232,96165692,58108033,Sapphire,null
opera,439371369,93485738,59698866,Sapphire,TX
patron,72583106,56232994,72583106,Sapphire,MD
patron,59526753,115647663,59526753,Sapphire,null
patron,64378917,9117868,64378917,Sapphire,null
patron,56227708,53030749,56227708,Sapphire,null
betmgm,598640337,165238573,99609224,Sapphire,MO
patron,95648942,142781658,95648942,Sapphire,MI
patron,54571943,91728533,54571943,Sapphire,null
patron,71428536,72927180,71428536,Sapphire,null
betmgm,599899365,144106980,95863347,Sapphire,WV
betmgm,597266857,156156892,99179925,Sapphire,AZ
patron,99156655,156085125,99156655,Sapphire,CA
patron,62192744,123954583,62192744,Sapphire,NY
opera,895323096,92170195,96052415,Sapphire,CA
patron,70724722,19070638,70724722,Sapphire,NS
customers,00uqxbiovj7ICG7Iu1t7,151660248,97930214,Sapphire,ON
patron,62302765,80597078,62302765,Sapphire,CA
patron,60133861,21820038,60133861,Sapphire,TX
betmgm,585510135,154375755,98648762,Sapphire,PA
archtics,8477360,97913027,74545758,Sapphire,NJ
patron,51176545,72371366,51176545,Sapphire,MI
patron,58881611,103945033,58881611,Sapphire,null
patron,93381798,136007316,93381798,Sapphire,null
betmgm,585784612,80378489,68221249,Sapphire,IL
opera,58974144,79865500,52906768,Pearl,CA
patron,80626815,132874062,80626815,Sapphire,VA
patron,50304571,2493395,50304571,Sapphire,CA
opera,891393459,139149998,95032242,Sapphire,CA
betmgm,561694105,140562127,95011805,Sapphire,PA
patron,63900750,123315479,63900750,Sapphire,null
patron,89332320,37698276,89332320,Sapphire,OH
customers,00uobg2476yeNCHXl1t7,26714379,44711521,Sapphire,FL
patron,64065075,60977540,64065075,Sapphire,null
patron,81772203,94633067,81772203,Sapphire,null
patron,41130672,34297824,51931709,Sapphire,QC
patron,54526481,120353019,54526481,Sapphire,null
patron,50791637,52401386,50791637,Sapphire,AB
patron,2709200,7327873,33274612,Sapphire,OH
patron,57911852,84965637,57911852,Sapphire,null
patron,98204635,152657829,98204635,Sapphire,WA
patron,61148270,107223410,61148270,Sapphire,TX
patron,59097830,8215192,59097830,Sapphire,null
patron,59983665,92127439,59983665,Sapphire,null
patron,55031611,5373908,55031611,Sapphire,null
betmgm,597755962,157996537,99357863,Sapphire,TX
opera,967411,122990762,3764417,Sapphire,CA
betmgm,600794547,165990061,99877205,Sapphire,MD
patron,70498862,8723892,70498862,Sapphire,AZ
patron,55612023,33384095,55612023,Sapphire,null
patron,79629164,50350108,79629164,Sapphire,MS
patron,71648134,54920689,71648134,Sapphire,MD
patron,90332537,64130590,90332537,Sapphire,MA
customers,00u6zqqb485Di8emj1t5,57892647,4168398,Sapphire,MI
patron,54967486,66242057,54967486,Sapphire,null
patron,41653570,112381476,41653570,Sapphire,TX
opera,889100711,135129428,89248953,Sapphire,OH
patron,83386168,59045102,83386168,Sapphire,NJ
patron,58388707,67229993,58388707,Sapphire,MI
patron,90505242,86060122,90505242,Sapphire,NY
customers,00u1ndlv1QlAf0nhG1t6,56572899,70021833,Sapphire,NM
opera,814486969,12554271,79807232,Sapphire,OK
patron,59509621,2722810,59509621,Sapphire,OH
opera,892228056,139923268,94894539,Sapphire,CA
patron,80373353,131638221,80373353,Sapphire,OH
patron,97893024,151533380,97893024,Sapphire,NJ
opera,815301814,80690147,71788136,Sapphire,FL
patron,93308020,136163515,93308020,Sapphire,null
patron,92938306,135561101,92938306,Sapphire,null
patron,81143648,28454231,81143648,Sapphire,null
patron,94056073,136958043,94056073,Sapphire,TX
patron,57148635,64467270,57148635,Sapphire,null
patron,51199045,20319133,51199045,Sapphire,PA
patron,80496985,132531983,80496985,Sapphire,CA
patron,90813839,37033638,90813839,Sapphire,NJ
patron,94983287,140124179,94983287,Sapphire,null
patron,76530275,75320287,76530275,Sapphire,AL
opera,889063285,143220952,94377126,Sapphire,CA
patron,73990151,85869014,73990151,Sapphire,MO
patron,93344140,135933075,93344140,Sapphire,null
opera,780377530,116799714,67570343,Sapphire,TX
patron,47214749,25189971,47214749,Sapphire,AL
patron,48252581,82258440,48252581,Sapphire,CA
patron,68080897,103378314,68080897,Sapphire,MI
opera,771115720,44853007,64769073,Sapphire,CA
patron,77731571,96750301,77731571,Sapphire,FL
patron,53546557,8263597,53546557,Sapphire,null
opera,577249083,28462281,75726991,Sapphire,TX
patron,7234519,12902680,7234519,Sapphire,IN
customers,00uq95bfqlMbjPPB21t7,165604979,99741385,Sapphire,MD
patron,97798071,151190636,97798071,Sapphire,NY
patron,59543773,4775203,59543773,Sapphire,null
patron,76423131,44986706,76423131,Sapphire,MI
patron,54290174,101893211,54290174,Sapphire,null
patron,94659217,138764100,94659217,Sapphire,PA
patron,59572092,33983468,59572092,Sapphire,null
patron,66545266,27835779,66545266,Sapphire,--
patron,62379506,168586210,62379506,Sapphire,OH
opera,673549060,52541641,62138779,Sapphire,TX
opera,902395825,165716619,99771319,Sapphire,SC
customers,00ujxpqixnRx2OT9n1t7,133350615,80659724,Sapphire,AL
patron,75400635,75544553,75400635,Sapphire,CA
customers,00u7ddojtuQECylUz1t7,9702581,76156905,Sapphire,CA
patron,58929486,94062284,58929486,Sapphire,null
patron,99054483,155768378,99054483,Sapphire,ON
archtics,14861352,105767629,65122385,Sapphire,CA
patron,98566846,154030300,98566846,Sapphire,PA
patron,63764466,87347783,63764466,Sapphire,PA
archtics,25427675,153625397,98476245,Sapphire,CA
patron,51534524,75906998,51534524,Sapphire,PA
patron,56026337,12900980,56026337,Sapphire,null
patron,50868539,80641065,50868539,Sapphire,TX
customers,00u5v4eid4LETz0J91t7,123781510,75193481,Sapphire,CA
patron,75641373,78367812,75641373,Sapphire,GA
patron,94682418,139118329,94682418,Sapphire,PA
opera,891281795,73159579,76269318,Sapphire,CA
patron,56462990,116126256,56462990,Sapphire,CA
opera,92918102,33850245,47543122,Sapphire,GA
customers,00ujyzg0k7bVVP2w61t7,140366115,21611040,Sapphire,MN
patron,82080330,110742066,82080330,Sapphire,NJ
opera,899092185,151907505,63466985,Sapphire,FL
patron,75341886,93364362,75341886,Sapphire,TX
patron,83497112,50627447,83497112,Sapphire,VA
patron,76344402,70865981,76344402,Sapphire,CA
patron,52595181,13914324,52595181,Sapphire,null
patron,63348725,115220289,63348725,Sapphire,CA
patron,52673405,11817056,52673405,Sapphire,null
patron,74401521,38817317,74401521,Sapphire,NJ
patron,60605253,108025523,57926620,Sapphire,MT
archtics,7800214,53651285,60029302,Sapphire,CO
patron,76052271,168060847,76052271,Sapphire,LA
patron,78004211,5135635,78004211,Sapphire,AZ
patron,75226313,29883406,75226313,Pearl,WY
opera,783985648,41313130,46835899,Platinum,AZ
patron,59589341,49353540,59589341,Sapphire,null
patron,73957477,95388244,73957477,Sapphire,OH
opera,807527341,20220050,76769460,Sapphire,CA
patron,80058898,129977145,80058898,Sapphire,CA
patron,12675480,71487746,83810458,Sapphire,PA
patron,89421497,104922399,89421497,Sapphire,OH
patron,97195634,148483024,97195634,Sapphire,NJ
patron,58771568,15256426,58771568,Sapphire,null
patron,53837578,113671081,53837578,Sapphire,null
opera,684590440,38249128,62212878,Sapphire,--
patron,56770026,103419929,56770026,Sapphire,null
patron,68291870,13301077,68291870,Sapphire,FL
opera,776416788,186592989,65470383,Sapphire,null
patron,76001290,84658723,76001290,Sapphire,NV
patron,99648781,165363468,99648781,Sapphire,null
patron,50481678,123128649,52889196,Sapphire,--
opera,796511612,51297544,70805913,Sapphire,CA
patron,55929548,125375154,55929548,Sapphire,null
patron,70270313,82821279,70270313,Sapphire,NM
patron,75639385,120806280,75639385,Sapphire,NY
archtics,11815369,43996669,64621807,Sapphire,NY
