guestId,expects,mLifeId,mgmRewardsTierCurrent,numberOfAccounts,stateCd,marketableNameFlag,marketableAddressFlag,isValidEmail,isValidMail,goo,betMGMEnrollment
43714388,1,64504163,Sapphire,3,null,true,false,false,false,false,false
155352743,1,98968766,Sapphire,7,AZ,true,true,true,true,false,false
44032864,1,71103194,Sapphire,3,FL,true,true,false,true,false,false
44044143,1,66426517,Sapphire,6,TX,true,true,true,true,false,false
151942706,1,98006731,Sapphire,4,AZ,true,true,true,true,false,true
151996720,1,98017207,Sapphire,4,ON,true,true,true,true,false,true
155393094,1,98914750,Sapphire,3,MS,true,true,false,true,false,false
30557575,1,64137753,Sapphire,3,null,true,false,false,false,false,false
44052905,1,64291930,Sapphire,3,null,true,false,false,false,false,false
44060805,1,47980441,null,4,TX,true,true,true,true,false,false
44903699,1,74797244,Sapphire,5,VA,true,true,true,true,false,false
44913663,1,90696413,Sapphire,3,NY,true,true,false,true,false,false
117999553,1,54569578,Sapphire,3,null,true,false,false,false,false,false
155437400,1,98928744,Sapphire,3,CA,true,true,false,true,false,false
155445421,1,98927017,Sapphire,4,NJ,true,true,true,true,false,true
155477094,1,98937303,Sapphire,6,HI,true,true,true,true,false,false
40218980,1,51417188,Pearl,18,WA,true,true,true,true,false,false
40243925,1,85227341,Sapphire,4,CA,true,true,false,true,false,false
152219804,1,98132670,Sapphire,7,PA,true,true,true,true,false,false
152190369,1,98072562,Sapphire,4,ON,true,true,true,true,false,true
42262450,1,57432108,Sapphire,3,null,true,false,false,false,false,false
151636132,1,97924202,Sapphire,4,LA,true,true,true,true,false,true
44927440,1,51885122,Sapphire,3,IN,true,true,false,true,false,false
45360625,1,49011508,Pearl,8,IA,true,true,true,true,false,false
132554357,1,80539181,Sapphire,5,GA,true,true,true,true,false,false
45367402,1,66017045,Sapphire,3,null,true,false,false,false,false,false
30606419,1,85086446,Sapphire,10,PA,true,true,true,true,false,false
42356086,1,43872571,Sapphire,6,IA,true,true,true,true,false,false
40261039,1,11026320,null,4,CA,true,true,true,true,false,false
155698483,1,99034467,Sapphire,6,PA,true,true,true,true,false,true
155708978,1,99020207,Sapphire,4,KY,true,true,true,true,false,true
45035421,1,51076047,Sapphire,3,MI,true,true,false,true,false,false
174247127,1,100902156,null,4,OH,true,true,true,true,false,true
46862530,1,79517664,Sapphire,3,MA,true,true,true,true,false,false
44028947,1,50613084,Sapphire,5,MI,true,true,true,true,false,false
44037119,1,78412550,Sapphire,4,OR,true,true,true,true,false,false
50028322,1,83016678,Sapphire,5,NJ,true,true,true,true,false,false
46014904,1,76691508,Sapphire,11,TX,true,true,true,true,false,false
44180688,1,82365435,Sapphire,15,NY,true,true,true,true,false,false
155737031,1,99044113,Sapphire,3,AR,true,true,false,true,true,false
155761145,1,99067572,Sapphire,5,NV,true,true,true,true,false,false
185040554,1,20777304,Sapphire,4,CA,true,true,false,true,false,false
44186989,1,64815008,Sapphire,4,TN,true,true,false,true,false,false
46078101,1,2939937,null,3,SC,true,true,false,true,false,false
50079312,1,63991242,Sapphire,3,null,true,false,false,false,false,false
46079907,1,75045559,Pearl,3,UT,true,true,true,true,false,false
165831039,1,99812462,Sapphire,6,MD,true,true,true,true,false,true
45798697,1,47783511,null,4,WA,true,true,true,true,false,false
47309659,1,59496469,Sapphire,3,TN,true,true,true,true,false,false
157944226,1,99331964,Sapphire,4,ON,true,true,true,true,false,true
157945703,1,99334857,Sapphire,4,IL,true,true,true,true,false,true
47316400,1,1163585,null,3,FL,true,true,false,true,false,false
46123378,1,45634486,Sapphire,3,MI,true,true,true,true,false,false
155817874,1,99065071,Sapphire,4,OH,true,true,true,true,false,true
155837898,1,99073920,Sapphire,4,NY,true,true,true,true,false,true
155842923,1,99070179,Sapphire,3,AB,true,true,false,true,false,false
50127243,1,47083291,null,5,CA,true,true,true,true,false,false
47382024,1,52363173,Sapphire,3,null,true,false,false,false,false,false
155850780,1,99067292,Sapphire,3,CA,true,true,true,true,false,false
47394201,1,43731791,null,3,CA,true,true,false,true,false,false
155901995,1,99080436,Sapphire,6,RI,true,true,true,true,false,false
44263451,1,46319838,null,4,NH,true,true,true,true,false,false
44264487,1,89578665,Sapphire,6,OH,true,true,true,true,false,false
44271423,1,8581019,Sapphire,3,FL,true,true,false,true,false,false
30663972,1,20992778,null,4,FL,true,true,false,true,false,false
50189227,1,68344781,Sapphire,7,Sur,true,false,true,false,false,false
47416931,1,90098854,Sapphire,3,NY,true,true,false,true,false,false
50270450,1,61855292,Sapphire,3,null,true,false,false,false,false,false
50271956,1,48518157,Sapphire,6,TX,true,true,true,true,false,false
167851088,1,100604830,Sapphire,3,NV,true,true,false,true,false,false
50356717,1,60647974,Sapphire,3,null,true,false,false,false,false,false
140032719,1,94971148,Sapphire,5,CA,true,true,true,true,false,false
167858771,1,100614216,Sapphire,3,MI,true,true,true,true,false,false
30721235,1,78913493,Sapphire,3,PA,true,true,false,true,false,false
47466625,1,69111574,Sapphire,4,NY,true,true,true,true,false,false
47472899,1,50104041,Sapphire,4,CA,true,true,true,true,false,false
167870575,1,100605040,Sapphire,4,MS,true,true,true,true,false,true
155593592,1,98977239,Sapphire,4,IL,true,true,true,true,false,true
155601739,1,98981194,Sapphire,4,PA,true,true,true,true,false,true
50411356,1,67996392,Sapphire,3,CA,true,true,true,true,false,false
44300024,1,81527892,Sapphire,3,null,true,false,false,false,false,false
140107246,1,94982281,Sapphire,3,null,true,false,false,false,false,false
47524057,1,70591137,Sapphire,3,TN,true,true,true,true,false,false
47533081,1,66526139,Sapphire,3,CA,true,true,false,true,false,false
50467207,1,79108455,Sapphire,10,OH,true,true,true,true,false,false
49330751,1,49608609,null,4,CA,true,true,true,true,false,false
43363086,1,83213420,Sapphire,5,MD,true,true,true,true,false,false
49344864,1,46736811,null,3,IL,true,true,false,true,false,false
50535317,1,89696543,Sapphire,4,OH,true,true,true,true,false,false
50573549,1,67815816,Sapphire,5,AZ,true,true,true,true,false,false
50602189,1,72627077,Sapphire,3,null,true,false,false,false,false,false
144915874,1,96085556,Sapphire,4,PA,true,true,true,true,false,true
50641340,1,41369785,Sapphire,7,AZ,true,true,true,true,false,false
50641503,1,57699016,Sapphire,3,null,true,false,false,false,false,false
174500867,1,100986929,null,4,IL,true,true,true,true,false,false
50656970,1,57623248,Sapphire,3,null,true,false,false,false,false,false
144085856,1,95853873,Sapphire,4,PA,true,true,true,true,false,true
174534993,1,101007698,null,3,AR,true,true,false,true,false,false
155643115,1,98994145,Pearl,6,ME,true,true,true,true,false,false
155661476,1,100983454,null,5,OH,true,true,true,true,false,false
155665593,1,99013255,Sapphire,3,NY,true,true,false,true,false,false
144185309,1,95883975,Sapphire,4,PA,true,true,true,true,false,true
156024855,1,99139739,Sapphire,5,IL,true,true,true,true,false,true
174565561,1,101005938,null,3,OH,true,true,true,true,false,false
144365058,1,95927548,Sapphire,3,CA,true,true,false,true,false,false
174639614,1,64279950,Sapphire,3,TX,true,true,true,true,false,false
174660541,1,101032461,null,3,LA,true,true,false,true,false,false
155712307,1,99034465,Sapphire,4,ON,true,true,true,true,false,true
50896390,1,83018234,Sapphire,5,NJ,true,true,true,true,false,false
50922547,1,46259811,null,3,BC,true,true,false,true,false,false
156212049,1,82077800,Sapphire,3,IL,true,true,false,true,false,false
50933022,1,79488151,Sapphire,6,MO,true,true,true,true,false,false
43745696,1,63374559,Sapphire,3,null,true,false,false,false,false,false
155842368,1,99066688,Sapphire,4,KS,true,true,true,true,false,true
31407337,1,81221232,Sapphire,3,null,true,false,false,false,false,false
156315059,1,99278339,Sapphire,5,MI,true,true,true,true,false,false
45489293,1,4192689,null,3,MI,true,true,false,true,false,false
45490685,1,50577679,null,5,IL,true,true,true,true,false,false
43783927,1,12008790,null,9,CT,true,true,true,true,false,false
155960233,1,99117007,Sapphire,4,IL,true,true,true,true,false,true
155969722,1,99109435,Sapphire,6,DC,true,true,true,true,false,true
156342015,1,84638813,Sapphire,8,NY,true,true,true,true,false,false
156359051,1,99234704,Sapphire,4,ON,true,true,true,true,false,true
155979818,1,99116325,Sapphire,4,ON,true,true,true,true,false,true
174273960,1,100917492,null,5,TX,true,true,true,true,false,false
42394598,1,13552040,null,4,CA,true,true,true,true,false,false
29669580,1,61971837,Sapphire,5,NS,true,true,true,true,false,false
156007933,1,99601559,Sapphire,5,GA,true,true,true,true,false,true
174711122,1,101052213,null,3,CA,true,true,false,true,false,false
44412015,1,83805774,Sapphire,6,NJ,true,true,false,true,false,false
174717268,1,101045863,null,3,CA,true,true,true,true,false,false
43895852,1,67997326,Sapphire,3,NC,true,true,false,true,false,false
174774200,1,101081960,null,6,ON,true,true,true,true,false,true
174805619,1,101080986,null,4,MA,true,true,true,true,false,true
140856574,1,95161253,Sapphire,7,null,true,false,true,false,false,true
174453360,1,100965955,null,4,NY,true,true,true,true,false,true
174467186,1,100974225,null,6,CA,true,true,true,true,false,false
31105306,1,65942903,Sapphire,7,LA,true,true,true,true,false,false
46157972,1,90838004,Sapphire,3,NY,true,true,false,true,false,false
174870410,1,101104522,null,11,NV,true,true,true,true,false,false
45538868,1,3488847,Sapphire,4,TN,true,true,true,true,false,false
33062359,1,50656908,Sapphire,8,NC,true,true,true,true,false,false
45870407,1,66466177,Sapphire,3,null,true,false,true,false,false,false
165861966,1,99830924,Sapphire,3,NY,true,true,false,true,false,false
45873638,1,4233765,null,3,TX,true,true,false,true,false,false
30732197,1,66557507,Sapphire,5,MO,true,true,true,true,false,false
40419742,1,56359842,Sapphire,3,null,true,false,false,false,false,false
42701717,1,61450905,Sapphire,4,MS,true,true,true,true,false,false
45596004,1,58816058,Sapphire,3,null,true,false,false,false,false,false
46317116,1,33929723,null,3,FL,true,true,false,true,false,false
45995032,1,21571773,Sapphire,4,NJ,true,true,false,true,false,false
40463600,1,19963338,null,5,GA,true,true,false,true,false,false
40481513,1,77959109,Sapphire,5,NM,true,true,true,true,false,false
44459290,1,74846869,Sapphire,3,TEX,true,false,true,false,false,false
31215702,1,73709840,Sapphire,4,CA,true,true,true,true,false,false
46049031,1,49462314,Sapphire,3,VA,true,true,true,true,false,false
40488529,1,47490423,null,4,NV,true,true,false,true,false,false
46078510,1,78802209,Sapphire,6,MA,true,true,true,true,false,false
42727069,1,41169787,null,5,FL,true,true,false,true,false,false
42736827,1,51626580,Sapphire,3,MI,true,true,false,true,false,false
44557968,1,71384576,Sapphire,3,null,true,false,false,false,false,false
45618152,1,66114338,Sapphire,14,CA,true,true,true,true,false,false
45635670,1,50877115,Sapphire,3,DE,true,true,true,true,false,false
45647495,1,53545599,Sapphire,3,null,true,false,false,false,false,false
45145977,1,95930194,Sapphire,11,WA,true,true,true,true,false,false
42833760,1,57960391,Sapphire,3,null,true,false,false,false,false,false
144692942,1,96009980,Sapphire,3,NC,true,true,true,true,false,false
46160779,1,65372064,Sapphire,5,BC,true,true,true,true,false,false
42848556,1,68718887,Sapphire,4,ON,true,true,true,true,false,false
47586629,1,53139412,Sapphire,3,AZ,true,true,false,true,false,false
35604689,1,62822922,Sapphire,4,ON,true,true,false,true,false,false
46106060,1,47966384,Sapphire,3,KS,true,true,false,true,false,false
46165334,1,7141285,null,3,HI,true,true,false,true,false,false
46215463,1,78401098,Sapphire,7,TX,true,true,true,true,false,false
152257785,1,98098290,Sapphire,4,ON,true,true,true,true,false,true
166738400,1,4292842,null,3,BC,true,false,false,false,false,false
45172927,1,83399649,Sapphire,4,VA,true,true,false,true,false,false
45180953,1,20312088,Sapphire,12,SC,true,true,true,true,false,false
43098839,1,20629305,Sapphire,5,PA,true,true,true,true,false,false
45222878,1,58382722,Sapphire,4,CA,true,true,false,true,false,false
45244029,1,53870386,Sapphire,3,null,true,false,false,false,false,false
43123510,1,92583263,Sapphire,5,NJ,true,true,true,true,false,true
43386132,1,2305444,null,3,IL,true,true,false,true,false,false
43400982,1,62504733,Sapphire,6,CO,true,true,true,true,false,false
45289318,1,1565798,null,5,WA,true,true,false,true,false,false
43401848,1,77492630,Sapphire,10,NJ,true,true,true,true,false,false
45335267,1,66572337,Sapphire,4,WA,true,true,true,true,false,false
43174803,1,3741638,Sapphire,10,AZ,true,true,true,true,false,false
43178965,1,82206197,Sapphire,3,PA,true,true,false,true,false,false
43218399,1,76939082,Sapphire,7,ILL,true,false,true,false,false,false
43225464,1,66403032,Sapphire,3,null,true,false,false,false,false,false
46339483,1,71798388,Sapphire,4,TX,true,true,true,true,false,false
46367162,1,68806818,Sapphire,3,null,true,false,false,false,false,false
50976173,1,72029250,Sapphire,4,NJ,true,true,true,true,false,false
50996601,1,33841774,null,3,IL,true,true,false,true,false,false
46414308,1,90732231,Sapphire,3,CT,true,true,false,true,false,false
43296393,1,51935900,Sapphire,6,IL,true,true,true,true,false,false
43305675,1,72429100,Sapphire,8,MB,true,true,true,true,false,false
26509411,1,74072821,Sapphire,4,CA,true,true,true,true,false,false
51028037,1,66025601,Sapphire,3,FL,true,true,true,true,false,false
33170590,1,58962716,Sapphire,3,null,true,false,false,false,false,false
43424300,1,74891689,Sapphire,5,TX,true,true,true,true,false,false
51033137,1,8756851,Sapphire,7,MS,true,true,true,true,false,false
43440761,1,57726652,Sapphire,3,null,true,false,false,false,false,false
26534155,1,35304261,null,7,TX,true,true,false,true,false,false
51050747,1,74521553,Sapphire,10,AZ,true,true,true,true,false,false
30369581,1,61714291,Sapphire,12,CA,true,true,true,true,false,false
51056679,1,1196919,Sapphire,7,MN,true,true,true,true,false,false
46895430,1,60836244,Sapphire,10,CA,true,true,true,true,false,false
51060469,1,67777405,Sapphire,3,null,true,false,false,false,false,false
46902128,1,81711631,Sapphire,3,null,true,false,false,false,false,false
46909972,1,45266930,null,3,AB,true,true,true,true,false,false
46938946,1,60007988,Sapphire,5,CA,true,true,true,true,false,false
40638953,1,73143135,Sapphire,3,VA,true,true,false,true,false,false
40650990,1,56197233,Sapphire,3,null,true,false,false,false,false,false
40663695,1,48627467,Sapphire,7,NJ,true,true,true,true,false,true
40664013,1,46261978,Sapphire,6,AL,true,true,true,true,false,false
43395693,1,77063619,Sapphire,5,FL,true,true,true,true,false,false
156454090,1,99276588,Sapphire,4,NJ,true,true,true,true,false,true
43487586,1,81244466,Sapphire,3,null,true,false,false,false,false,false
46994633,1,73878413,Sapphire,6,QC,true,true,true,true,false,false
43508058,1,59704102,Sapphire,4,CA,true,true,true,true,false,false
47043902,1,66487411,Sapphire,3,null,true,false,false,false,false,false
20844884,1,1931633,null,3,TX,true,false,false,false,false,false
31993978,1,59332228,Sapphire,3,CA,true,true,false,true,false,false
45525127,1,2201854,null,12,CT,true,true,true,true,false,false
45549092,1,18661363,null,5,CA,true,true,true,true,false,false
45553133,1,68969640,Sapphire,7,CA,true,true,true,true,false,false
45556960,1,44424942,null,5,IL,true,true,true,true,false,false
32136255,1,21064303,Sapphire,4,MI,true,true,false,true,false,false
40760019,1,52839377,Sapphire,5,BC,true,true,true,true,false,false
45569694,1,75345184,Sapphire,3,TX,true,false,false,false,false,false
43998365,1,60302495,Sapphire,4,NV,true,true,true,true,false,false
40792461,1,62594955,Sapphire,5,MO,true,true,false,true,false,false
40803122,1,45598127,null,3,LA,true,true,true,true,false,false
45607284,1,76136687,Sapphire,3,null,true,false,false,false,false,false
44014560,1,41723196,Sapphire,9,CA,true,true,true,true,false,false
44018836,1,54136198,Sapphire,4,SA,true,false,false,false,false,false
16390453,1,90546391,Sapphire,3,NY,true,true,false,true,false,false
40841161,1,46840482,null,6,CO,true,true,false,true,false,false
47068222,1,77791765,Sapphire,4,HI,true,true,true,true,false,false
47068237,1,70354856,Sapphire,4,SC,true,true,true,true,false,false
47072698,1,33997616,null,3,CA,true,true,false,true,false,false
47102405,1,69269910,Sapphire,10,IL,true,true,true,true,false,false
43601821,1,5053188,null,3,ON,true,true,false,true,false,false
43604699,1,62504592,Sapphire,3,null,true,false,false,false,false,false
47116120,1,64148407,Sapphire,3,null,true,false,false,false,false,false
43606137,1,11034137,Sapphire,4,CA,true,true,true,true,false,false
44576796,1,41155652,Sapphire,7,IN,true,true,true,true,false,false
